case,center,before,after,pred,pA,pB,pC_loss,loss_score
Cosmos2.5_0016,6,"0,2,4","8,10,12",A,0.9953356385231018,0.0014964265283197165,0.0031679351814091206,0.3916148445568979
Cosmos2.5_0016,10,"4,6,8","12,14,16",A,0.9883038997650146,0.0031455548014491796,0.008550504222512245,1.0123281623236835
Cosmos2.5_0016,14,"8,10,12","16,18,20",A,0.9819797277450562,0.004013126716017723,0.014007188379764557,1.6013751737773418
Cosmos2.5_0016,18,"12,14,16","20,22,24",A,0.985909640789032,0.0031379342544823885,0.01095246709883213,1.2521434226073325
Cosmos2.5_0016,22,"16,18,20","24,26,28",A,0.9997382760047913,5.827940549352206e-05,0.00020341512572485954,0.023255482847162057
Cosmos2.5_0016,26,"20,22,24","28,30,32",A,0.999962329864502,1.0129710972250905e-05,2.7535414119483903e-05,0.0032600269605609355
Cosmos2.5_0016,30,"24,26,28","32,34,36",A,0.9998412132263184,3.535188807290979e-05,0.00012339021486695856,0.014106615890341345
Cosmos2.5_0016,34,"28,30,32","36,38,40",A,0.9997667670249939,7.483438093913719e-05,0.00015842435823287815,0.019584154870244674
Cosmos2.5_0016,38,"32,34,36","40,42,44",A,0.9994112253189087,0.0001583680132171139,0.00043048892985098064,0.05096729364595376
Cosmos2.5_0016,42,"36,38,40","44,46,48",A,0.9975225329399109,0.0005517140962183475,0.0019256715895608068,0.22015286376699805
Cosmos2.5_0016,46,"40,42,44","48,50,52",A,0.999243974685669,0.00020331454288680106,0.0005526661989279091,0.06543234703713097
Cosmos2.5_0016,50,"44,46,48","52,54,56",A,0.9997005462646484,9.608286927687004e-05,0.00020340744231361896,0.025144887695205398
Cosmos2.5_0016,54,"48,50,52","56,58,60",A,0.9990295171737671,0.00026100498507730663,0.0007094851462170482,0.08399876387557015
Cosmos2.5_0016,58,"52,54,56","60,62,64",A,0.9996154308319092,0.00012336234794929624,0.00026115807122550905,0.03228392452001572
Cosmos2.5_0016,62,"56,58,60","64,66,68",A,0.999243974685669,0.00020331454288680106,0.0005526661989279091,0.06543234703713097
Cosmos2.5_0016,66,"60,62,64","68,70,72",A,0.9998183846473694,5.828407302033156e-05,0.00012338739179540426,0.015252942830557004
Cosmos2.5_0016,70,"64,66,68","72,74,76",A,0.9995414018630981,0.00012335320934653282,0.0003353087813593447,0.03969853860326111
Cosmos2.5_0016,74,"68,70,72","76,78,80",A,0.9998456239700317,5.828566645504907e-05,9.609681728761643e-05,0.012523965051514097
Cosmos2.5_0016,78,"72,74,76","80,82,84",A,0.9998897314071655,3.535360156092793e-05,7.484358502551913e-05,0.00925203858059831
Cosmos2.5_0016,82,"76,78,80","84,86,88",A,0.999933123588562,2.1443975128931925e-05,4.539689325611107e-05,0.005611888082057703
Cosmos2.5_0016,86,"80,82,84","88,90,92",A,0.9999510049819946,2.144435711670667e-05,2.7535101253306493e-05,0.0038257279811659828
Cosmos2.5_0058,6,"0,2,4","8,10,12",A,0.9998797178268433,4.539447036222555e-05,7.484283560188487e-05,0.009754007078299765
Cosmos2.5_0058,10,"4,6,8","12,14,16",A,0.9999929666519165,2.260313522128854e-06,4.7850840019236784e-06,0.0005915240762988105
Cosmos2.5_0058,14,"8,10,12","16,18,20",A,0.9999892711639404,2.902289452322293e-06,7.889239896030631e-06,0.0009340384622191777
Cosmos2.5_0058,18,"12,14,16","20,22,24",A,0.999968409538269,1.0129772817890625e-05,2.14447318285238e-05,0.0026509618237469113
Cosmos2.5_0058,22,"16,18,20","24,26,28",A,0.9999516010284424,1.3006668268644717e-05,3.53557916241698e-05,0.0041859125758492155
Cosmos2.5_0058,26,"20,22,24","28,30,32",A,0.999937891960144,1.6700663763913326e-05,4.5397111534839496e-05,0.005374744341679616
Cosmos2.5_0058,30,"24,26,28","32,34,36",A,0.9999903440475464,1.760329269018257e-06,7.889248081482947e-06,0.0008769412715992075
Cosmos2.5_0058,34,"28,30,32","36,38,40",A,0.9999963045120239,8.315256536661764e-07,2.902309915953083e-06,0.0003318072742786171
Cosmos2.5_0058,38,"32,34,36","40,42,44",A,0.9999645948410034,7.889045264164452e-06,2.7535475965123624e-05,0.003147999859720585
Cosmos2.5_0058,42,"36,38,40","44,46,48",A,0.999937891960144,1.6700663763913326e-05,4.5397111534839496e-05,0.005374744341679616
Cosmos2.5_0058,46,"40,42,44","48,50,52",A,0.9998763799667358,2.753304761426989e-05,9.609977132640779e-05,0.010986629513354274
Cosmos2.5_0058,50,"44,46,48","52,54,56",A,0.9982959628105164,0.00020312165725044906,0.001500877202488482,0.16024380311137065
Cosmos2.5_0058,54,"48,50,52","56,58,60",A,0.999473512172699,9.60610486799851e-05,0.00043051576358266175,0.04785462879226543
Cosmos2.5_0058,58,"52,54,56","60,62,64",A,0.9981644749641418,0.0003348468744661659,0.0015006795292720199,0.16681029665051028
Cosmos2.5_0058,62,"56,58,60","64,66,68",A,0.999887228012085,1.6699817933840677e-05,9.610081906430423e-05,0.010445072803122457
Cosmos2.5_0058,66,"60,62,64","68,70,72",A,0.9996639490127563,7.482668297598138e-05,0.0002611707313917577,0.029858407287974842
Cosmos2.5_0058,70,"64,66,68","72,74,76",A,0.9996064305305481,5.827171844430268e-05,0.0003353305801283568,0.036446643935050815
Cosmos2.5_0058,74,"68,70,72","76,78,80",A,0.9999785423278809,4.785014880326344e-06,1.670134224696085e-05,0.001909384968712402
Cosmos2.5_0058,78,"72,74,76","80,82,84",A,0.9999915361404419,2.2603103388973977e-06,6.1441605794243515e-06,0.000727431574887305
