case,best_violation_score,best_violation_pred,best_violation_frames,max_dup_score,max_dup_frames,max_disappear_score,max_disappear_frames,max_loss_score,max_loss_pred,max_loss_center,max_loss_before,max_loss_after,identity_score,winning_branch
Cosmos3_seed101_0036,99.99999230995658,C,"132,133,134,135,136,137",99.99998807907104,"132,133,134,135,136,137",0.6234826054424047,"168,169,170,171,172,173",22.323341871378943,A,126,"120,122,124","128,130,132",99.99998807907104,DUP
Cosmos3_seed101_0020,99.9999438183691,C,"184,185,186,187,188",99.9998927116394,"184,185,186,187,188",0.091102672740817,"16,17,18,19,20,21",95.12061476707458,C,138,"132,134,136","140,142,144",99.9998927116394,DUP
Cosmos3_seed101_0065,99.99951592258184,C,"180,181,182,183,184,185",99.99849796295166,"180,181,182,183,184,185",1.3639693148434162,"144,145,146,147,148,149",38.3493522182107,A,14,"8,10,12","16,18,20",99.99849796295166,DUP
Cosmos3_seed101_0010,99.99540374457185,C,"76,77,78,79,80,81",99.99512434005736,"76,77,78,79,80,81",11.3495834171772,"148,149,150,151,152,153",93.53674347512424,C,94,"88,90,92","96,98,100",99.99512434005736,DUP
LVP_0030,99.99414296034672,C,"44,45,46,47,48",99.99388456344604,"44,45,46,47,48",0.0273354206001386,"40,41,42,43,44,45",0.0383353017241461,A,42,"36,38,40","44,46,48",99.99388456344604,DUP
Cosmos2.5_0064,62.33915912598604,D,"16,17,18,19,20,21",44.61406171321869,"80,81,82,83,84,85",62.07506060600281,"16,17,18,19,20,21",99.89587084855884,C,14,"8,10,12","16,18,20",99.89587084855884,LOSS
Cosmos2.5_0016,99.3199598735373,C,"36,37,38,39,40,41",99.22866821289062,"36,37,38,39,40,41",0.6689270026981831,"16,17,18,19,20,21",1.6013751737773418,A,14,"8,10,12","16,18,20",99.22866821289062,DUP
Cosmos3_seed101_0012,98.87526851089206,C,"92,93,94,95,96,97",98.7860381603241,"92,93,94,95,96,97",4.372616112232208,"124,125,126,127,128,129",87.4751421622932,C,70,"64,66,68","72,74,76",98.7860381603241,DUP
Cosmos3_seed101_0017,92.4113970446342,C,"144,145,146,147,148,149",92.40595698356628,"144,145,146,147,148,149",6.105872988700867,"160,161,162,163,164,165",67.45811365544796,C,154,"148,150,152","156,158,160",92.40595698356628,DUP
Cosmos3_seed101_0003,0.2232033381005749,A,"108,109,110,111,112,113",0.0707805098500102,"96,97,98,99,100,101",0.0157957372721284,"164,165,166,167,168,169",24.36981350183487,A,118,"112,114,116","120,122,124",24.36981350183487,LOSS
Cosmos2.5_0060,22.42820201208815,A,"84,85,86,87,88,89",22.17937409877777,"84,85,86,87,88,89",0.3744455752894282,"20,21,22,23,24,25",0.2602251333883032,A,74,"68,70,72","76,78,80",22.17937409877777,DUP
Cosmos3_seed101_0027,9.92715829052031,A,"180,181,182,183,184,185",9.468763321638107,"180,181,182,183,184,185",0.2226839773356914,"180,181,182,183,184,185",0.0012522465112851,A,14,"8,10,12","16,18,20",9.468763321638107,DUP
Cosmos2.5_0058,6.271926313638687,A,"64,65,66,67,68,69",5.982314795255661,"64,65,66,67,68,69",0.2346519846469164,"68,69,70,71,72,73",0.1668102966505102,A,58,"52,54,56","60,62,64",5.982314795255661,DUP
LVP_0053,6.819871533662081,A,"20,21,22,23,24,25",3.570994734764099,"20,21,22,23,24,25",2.165917865931988,"20,21,22,23,24,25",0.3385917298146523,A,42,"36,38,40","44,46,48",3.570994734764099,DUP
LVP_0004,0.5075651512015611,A,"40,41,42,43,44,45",0.316424760967493,"40,41,42,43,44,45",0.116406159941107,"40,41,42,43,44,45",0.5188449285924435,A,14,"8,10,12","16,18,20",0.5188449285924435,LOSS
Cosmos3_seed101_0054,0.7192500634118915,A,"132,133,134,135,136,137",0.4046760033816099,"132,133,134,135,136,137",0.1161185093224048,"184,185,186,187,188",0.042873399797827,A,10,"4,6,8","12,14,16",0.4046760033816099,DUP
Cosmos3_seed101_0055,0.6144679966382682,A,"48,49,50,51,52,53",0.1487765228375792,"48,49,50,51,52,53",0.0376165960915386,"48,49,50,51,52,53",0.0187568008186644,A,6,"0,2,4","8,10,12",0.1487765228375792,DUP
LVP_0056,0.063715851138113,A,"28,29,30,31,32,33",0.0260999397141858,"28,29,30,31,32,33",0.0021424137230496,"28,29,30,31,32,33",0.0009019397680276,A,22,"16,18,20","24,26,28",0.0260999397141858,DUP
LVP_0055,0.064323958940804,A,"40,41,42,43,44,45",0.0260997796431183,"40,41,42,43,44,45",0.0027508969651535,"40,41,42,43,44,45",0.0031479998597205,A,42,"36,38,40","44,46,48",0.0260997796431183,DUP
LVP_0054,0.0456114572443766,A,"40,41,42,43,44,45",0.0158408787683583,"20,21,22,23,24,25",0.0021429699700092,"40,41,42,43,44,45",0.0004606801041973,A,10,"4,6,8","12,14,16",0.0158408787683583,DUP
