case,frame,prompt,gdino_score,source_similarity,x1,y1,x2,y2,rank
Cosmos2.5_0058,0,white cup,0.8660951852798462,0.9692679643630981,679.26806640625,353.4386291503906,741.68359375,446.3162536621094,1
Cosmos2.5_0058,3,white cup,0.8538597822189331,0.957352876663208,679.1644287109375,354.04345703125,741.4375,446.453125,1
Cosmos2.5_0058,6,white cup,0.8425318598747253,0.9603431224822998,680.6239624023438,353.218505859375,742.9662475585938,446.2255859375,1
Cosmos2.5_0058,9,white cup,0.8292736411094666,0.9645693302154541,680.0580444335938,352.80718994140625,742.4959106445312,445.1708984375,1
Cosmos2.5_0058,12,white cup,0.8279156684875488,0.9696836471557617,680.2588500976562,352.6474914550781,742.5757446289062,445.0315856933594,1
Cosmos2.5_0058,15,white cup,0.7501586079597473,0.941791296005249,681.546875,352.7757568359375,742.48095703125,444.7405395507813,1
Cosmos2.5_0058,15,white cup,0.1008836403489112,0.6894094944000244,575.5178833007812,278.248291015625,661.2055053710938,379.7955322265625,2
Cosmos2.5_0058,18,white cup,0.677425742149353,0.9598249197006226,680.9671020507812,352.6478881835937,742.4157104492188,444.6298828125,1
Cosmos2.5_0058,18,white cup,0.1662404537200927,0.6821339130401611,562.8232421875,301.7691650390625,644.1568603515625,399.33001708984375,2
Cosmos2.5_0058,21,white cup,0.6472281217575073,0.9631750583648682,680.2836303710938,353.01123046875,742.5845336914062,444.88092041015625,1
Cosmos2.5_0058,21,white cup,0.2198399752378463,0.7821406126022339,553.4901123046875,310.9324645996094,635.2933349609375,413.4245910644531,2
Cosmos2.5_0058,24,white cup,0.6335161924362183,0.961132287979126,680.9072265625,352.9319152832031,742.62451171875,444.6297912597656,1
Cosmos2.5_0058,24,white cup,0.2345937192440033,0.858683168888092,544.481689453125,322.6597900390625,625.3460693359375,425.63092041015625,2
Cosmos2.5_0058,27,white cup,0.5975310206413269,0.9632647633552551,681.0498046875,353.0436096191406,742.2686767578125,444.6363830566406,1
