case,frame,rank,gdino_score,source_similarity,x1,y1,x2,y2,sam_score,mask_pixels,crop_path
Cosmos2.5_0058,0,1,0.8660951852798462,0.969267964363098,679.26806640625,353.4386291503906,741.68359375,446.3162536621094,0.9765625,4089,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0000_rank_01.png
Cosmos2.5_0058,3,1,0.8538597822189331,0.957352876663208,679.1644287109375,354.04345703125,741.4375,446.453125,0.97265625,4106,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0003_rank_01.png
Cosmos2.5_0058,6,1,0.8425318598747253,0.9603431224822998,680.6239624023438,353.218505859375,742.9662475585938,446.2255859375,0.97265625,4136,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0006_rank_01.png
Cosmos2.5_0058,9,1,0.8292736411094666,0.964569330215454,680.0580444335938,352.80718994140625,742.4959106445312,445.1708984375,0.97265625,4135,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0009_rank_01.png
Cosmos2.5_0058,12,1,0.8279156684875488,0.9696836471557616,680.2588500976562,352.6474914550781,742.5757446289062,445.0315856933594,0.9765625,4121,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0012_rank_01.png
Cosmos2.5_0058,15,1,0.7501586079597473,0.941791296005249,681.546875,352.7757568359375,742.48095703125,444.7405395507813,0.9765625,4070,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0015_rank_01.png
Cosmos2.5_0058,15,2,0.1008836403489112,0.6894094944000244,575.5178833007812,278.248291015625,661.2055053710938,379.7955322265625,0.96875,4537,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0015_rank_02.png
Cosmos2.5_0058,18,1,0.677425742149353,0.9598249197006226,680.9671020507812,352.6478881835937,742.4157104492188,444.6298828125,0.9765625,4091,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0018_rank_01.png
Cosmos2.5_0058,18,2,0.1662404537200927,0.6821339130401611,562.8232421875,301.7691650390625,644.1568603515625,399.33001708984375,0.96875,4944,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0018_rank_02.png
Cosmos2.5_0058,21,1,0.6472281217575073,0.9631750583648682,680.2836303710938,353.01123046875,742.5845336914062,444.88092041015625,0.9765625,4129,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0021_rank_01.png
Cosmos2.5_0058,21,2,0.2198399752378463,0.7821406126022339,553.4901123046875,310.9324645996094,635.2933349609375,413.4245910644531,0.97265625,5294,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0021_rank_02.png
