case,frame,prompt,gdino_score,source_similarity,x1,y1,x2,y2,rank
Cosmos2.5_0036,0,white tape roll,0.7974219918251038,0.9353830814361572,662.7784423828125,339.21063232421875,759.197265625,409.4937133789063,1
Cosmos2.5_0036,0,white tape roll,0.1143990531563758,0.6408697366714478,914.031982421875,478.8466491699219,1110.7891845703125,701.31884765625,2
Cosmos2.5_0036,0,white tape roll,0.1016993448138237,0.6119279861450195,1015.8194580078124,189.95977783203125,1278.1575927734375,514.5381469726562,3
Cosmos2.5_0036,0,white tape roll,0.134957730770111,0.6043004393577576,653.7451171875,0.976348876953125,1278.068359375,700.8338623046875,4
Cosmos2.5_0036,0,white tape roll,0.1804828494787216,0.5523820519447327,488.6476440429688,145.33203125,503.56341552734375,188.96890258789065,5
Cosmos2.5_0036,3,white tape roll,0.7855073809623718,0.8663011789321899,662.78857421875,339.5564880371094,758.76513671875,410.0774841308594,1
Cosmos2.5_0036,3,white tape roll,0.1153903901576995,0.6699734330177307,629.86279296875,189.80767822265625,726.3614501953125,264.49139404296875,2
Cosmos2.5_0036,3,white tape roll,0.120252713561058,0.6099838614463806,912.0765380859376,417.2785339355469,1112.374267578125,701.41650390625,3
Cosmos2.5_0036,3,white tape roll,0.1499763131141662,0.6094638109207153,629.9595336914062,0.63690185546875,1277.710693359375,700.8831787109375,4
Cosmos2.5_0036,3,white tape roll,0.1247299462556839,0.5768031477928162,1131.0433349609375,646.6019897460938,1243.5626220703125,701.7483520507812,5
Cosmos2.5_0036,3,white tape roll,0.1558923423290252,0.5544930696487427,488.7621154785156,145.2169189453125,503.3866271972656,188.66281127929688,6
Cosmos2.5_0036,6,white tape roll,0.7590517401695251,0.8501127362251282,663.8053588867188,338.09442138671875,759.9215698242188,409.1187133789063,1
Cosmos2.5_0036,6,white tape roll,0.1151273995637893,0.6417263746261597,606.081787109375,205.4916534423828,704.58203125,276.6165771484375,2
Cosmos2.5_0036,6,white tape roll,0.1083665937185287,0.6224497556686401,914.3230590820312,416.9146423339844,1112.65625,701.4105224609375,3
Cosmos2.5_0036,6,white tape roll,0.1700322329998016,0.6085638403892517,607.4037475585938,0.67791748046875,1257.82763671875,700.785888671875,4
Cosmos2.5_0036,6,white tape roll,0.1283225119113922,0.5632661581039429,489.5505981445313,143.95773315429688,504.072509765625,188.06362915039065,5
Cosmos2.5_0036,6,white tape roll,0.1171122640371322,0.55751633644104,1131.580322265625,647.1967163085938,1243.507080078125,701.5285034179688,6
Cosmos2.5_0036,9,white tape roll,0.7439025044441223,0.7763060331344604,663.80615234375,338.5859375,759.018310546875,409.364990234375,1
Cosmos2.5_0036,9,white tape roll,0.1027691736817359,0.6238125562667847,912.5673828125,418.0442810058594,1112.830810546875,701.5101318359375,2
Cosmos2.5_0036,9,white tape roll,0.1789017915725708,0.600932240486145,600.2064208984375,1.023834228515625,1240.14990234375,700.65478515625,3
Cosmos2.5_0036,9,white tape roll,0.1073355302214622,0.5638858079910278,489.1656799316406,144.4453125,504.0066223144531,188.7847900390625,4
Cosmos2.5_0036,9,white tape roll,0.1051678583025932,0.4349726438522339,1131.5787353515625,646.7760009765625,1244.1839599609375,701.6192626953125,5
Cosmos2.5_0036,12,white tape roll,0.7442945241928101,0.8647613525390625,663.068115234375,338.14794921875,758.83349609375,409.73834228515625,1
Cosmos2.5_0036,12,white tape roll,0.1000190079212188,0.6181515455245972,912.7899780273438,474.9098510742188,1112.9697265625,701.0945434570312,2
Cosmos2.5_0036,12,white tape roll,0.1675406545400619,0.6058709621429443,594.229248046875,1.78546142578125,1233.410888671875,700.588623046875,3
Cosmos2.5_0036,12,white tape roll,0.1038207039237022,0.5674399137496948,488.5638122558594,145.17132568359375,503.9724426269531,189.044677734375,4
Cosmos2.5_0036,12,white tape roll,0.1014387458562851,0.5602537393569946,1131.90283203125,647.0222778320312,1243.756591796875,701.6071166992188,5
Cosmos2.5_0036,15,white tape roll,0.7040117383003235,0.8282496333122253,664.450439453125,338.17779541015625,759.630126953125,408.82916259765625,1
Cosmos2.5_0036,15,white tape roll,0.1962819248437881,0.6234102249145508,638.3084716796875,129.20172119140625,756.9737548828125,238.21978759765625,2
Cosmos2.5_0036,15,white tape roll,0.1176283210515976,0.6221455335617065,914.8442993164062,473.2677612304688,1113.4608154296875,701.3722534179688,3
Cosmos2.5_0036,15,white tape roll,0.2246610969305038,0.6161512136459351,628.4888916015625,13.73968505859375,1220.6795654296875,700.0936889648438,4
