case,frame,rank,gdino_score,source_similarity,x1,y1,x2,y2,sam_score,mask_pixels,crop_path
Cosmos2.5_0036,0,1,0.7974219918251038,0.9353830814361572,662.7784423828125,339.21063232421875,759.197265625,409.4937133789063,0.97265625,4952,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_01.png
Cosmos2.5_0036,0,2,0.1143990531563758,0.6408697366714478,914.031982421875,478.8466491699219,1110.7891845703125,701.31884765625,0.9296875,25412,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_02.png
Cosmos2.5_0036,0,3,0.1016993448138237,0.6119279861450195,1015.8194580078124,189.95977783203125,1278.1575927734375,514.5381469726562,0.9765625,42196,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_03.png
Cosmos2.5_0036,3,1,0.7855073809623718,0.8663011789321899,662.78857421875,339.5564880371094,758.76513671875,410.0774841308594,0.96875,4999,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_01.png
Cosmos2.5_0036,3,2,0.1153903901576995,0.6699734330177307,629.86279296875,189.80767822265625,726.3614501953125,264.49139404296875,0.9609375,4786,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_02.png
Cosmos2.5_0036,3,3,0.120252713561058,0.6099838614463806,912.0765380859376,417.2785339355469,1112.374267578125,701.41650390625,0.9375,25736,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_03.png
Cosmos2.5_0036,6,1,0.7590517401695251,0.8501127362251282,663.8053588867188,338.09442138671875,759.9215698242188,409.1187133789063,0.96875,5030,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_01.png
Cosmos2.5_0036,6,2,0.1151273995637893,0.6417263746261597,606.081787109375,205.4916534423828,704.58203125,276.6165771484375,0.953125,4627,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_02.png
Cosmos2.5_0036,6,3,0.1083665937185287,0.6224497556686401,914.3230590820312,416.9146423339844,1112.65625,701.4105224609375,0.9296875,26280,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_03.png
Cosmos2.5_0036,9,1,0.7439025044441223,0.7763060331344604,663.80615234375,338.5859375,759.018310546875,409.364990234375,0.97265625,4971,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_01.png
